Cuisine;Recipe;URL
croatian;Soft Croatian corn bread - proja;https://www.yummly.com/recipe/Soft-Croatian-corn-bread---proja-1673803
croatian;S?unka u kruhu (Croatian Easter ham baked inside of bread);https://www.yummly.com/recipe/Sunka-u-kruhu-_Croatian-Easter-ham-baked-inside-of-bread_-1200186
croatian;The Hirshon Croatian Beef Stew ñ Pas?ticada;https://www.yummly.com/recipe/The-Hirshon-Croatian-Beef-Stew-Pasticada-2514838
croatian;Vegan Povitica - Croatian Sweet Walnut Bread;https://www.yummly.com/recipe/Vegan-Povitica---Croatian-Sweet-Walnut-Bread-1967621
croatian;ZLEVANKA - Sweet Croatian Cornbread;https://www.yummly.com/recipe/ZLEVANKA---Sweet-Croatian-Cornbread-770704
vietnamese;Vietnamese Spring Rolls (Cha Gio);https://www.yummly.com/recipe/Vietnamese-Spring-Rolls-_Cha-Gio_-2634941
vietnamese;Vietnamese Steaks;https://www.yummly.com/recipe/Vietnamese-Steaks-2280626
vietnamese;Vietnamese Xiu Mai Bun;https://www.yummly.com/recipe/Vietnamese-Xiu-Mai-Bun-2280021
vietnamese;Vietnamese Zoodle Salad;https://www.yummly.com/recipe/Vietnamese-Zoodle-Salad-2367603
vietnamese;WILD DUCK PHO or VIETNAMESE DUCK SOUP;https://www.yummly.com/recipe/WILD-DUCK-PHO_-or-VIETNAMESE-DUCK-SOUP-1094062
Chinese;Chinese Chicken & Noodle Salad;https://www.yummly.com/recipe/Chinese-Chicken-_-Noodle-Salad-1817444
Chinese;Cold Sesame Noodles, An Old Chinese favorite;https://www.yummly.com/recipe/Cold-Sesame-Noodles_-An-Old-Chinese-favorite-9019068
Chinese;Chili Garlic Chinese Noodles;https://www.yummly.com/recipe/Chili-Garlic-Chinese-Noodles-9040871
Chinese;Chinese Chicken Noodle Soup with Sesame and Green Onions;https://www.yummly.com/recipe/Chinese-Chicken-Noodle-Soup-With-Sesame-And-Green-Onions-Epicurious
Chinese;Gluten-Free, Vegan Chinese Cold Sesame Noodles;https://www.yummly.com/recipe/Gluten-Free_-Vegan-Chinese-Cold-Sesame-Noodles-9195852
Italian;5 Ingredient One Pot Pasta with Chicken Sausage;https://www.yummly.com/recipe/5-Ingredient-One-Pot-Pasta-with-Chicken-Sausage-2181453
Italian;Summer Italian Pasta;https://www.yummly.com/recipe/Summer-Italian-Pasta-1218413
Italian;Italian Pasta Salad;https://www.yummly.com/recipe/Italian-Pasta-Salad-1173862
Italian;Italian Sub Pasta Salad;https://www.yummly.com/recipe/Italian-Sub-Pasta-Salad-9004744
Italian;Easy Italian Pasta Cake;https://www.yummly.com/recipe/Easy-Italian-Pasta-Bake-9066624
Thai;Thai Stir Fried Noodles (Pad See Ew);https://www.yummly.co.uk/recipe/Thai-Stir-Fried-Noodles-_Pad-See-Ew_-596040
Thai;Thai style Paneer;https://www.yummly.co.uk/recipe/Thai-style-Paneer-1471210
Thai;Thai Yellow Curry;https://www.yummly.co.uk/recipe/Thai-Yellow-Curry-2413544
Thai;Thai-style Cucumber Salad;https://www.yummly.co.uk/recipe/Thai-style-Cucumber-Salad-1825578
Thai;Tom Yum Soup (Thai Soup);https://www.yummly.co.uk/recipe/Tom-Yum-Soup-_Thai-Soup_-9082316
Greek;The BEST Greek Salad;https://www.yummly.com/recipe/The-BEST-Greek-Salad-2714620
Greek;Dad’s Dilly Greek Yogurt Cucumber Salad;https://www.yummly.com/recipe/Dads-Dilly-Greek-Yogurt-Cucumber-Salad-1726043
Greek;Caramelized Onion Dip;https://www.yummly.com/recipe/Caramelized-onion-dip-308832
Greek;Best Greek Salad Dressing & Greek Salad;https://www.yummly.com/recipe/Best-Greek-Salad-Dressing-_-Greek-Salad-2134977
Greek;Healthy Greek Gyro;https://www.yummly.com/recipe/Healthy-Greek-Gyro-1868920
