"Premises";"Conclusion";"Support";"Conclusion Premises:all";"Conclusion Premises:baking";"Conclusion Premises:black";"Conclusion Premises:butter";"Conclusion Premises:carrot";"Conclusion Premises:celeri";"Conclusion Premises:cinnamon";"Conclusion Premises:clove";"Conclusion Premises:cream";"Conclusion Premises:egg";"Conclusion Premises:flour";"Conclusion Premises:garlic";"Conclusion Premises:ground";"Conclusion Premises:honei";"Conclusion Premises:lemon";"Conclusion Premises:milk";"Conclusion Premises:oil";"Conclusion Premises:olive";"Conclusion Premises:onion";"Conclusion Premises:paprika";"Conclusion Premises:parslei";"Conclusion Premises:pepper";"Conclusion Premises:powder";"Conclusion Premises:purpose";"Conclusion Premises:root";"Conclusion Premises:salt";"Conclusion Premises:sour";"Conclusion Premises:sugar";"Conclusion Premises:tomato";"Conclusion Premises:water";"Conclusion Premises:white";"Conclusion Premises:yolk"
"salt";"onion";0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20383455033707315;0.0;0.0;0.0;0.0;0.0;0.0;0.2062921615764035;0.0;0.0;0.0;0.0;0.0;0.0
"salt";"water";0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2062921615764035;0.0;0.0;0.0;0.20925732964382782;0.0;0.0
"onion";"garlic";0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.073282630744161;0.0;0.0;0.0;0.0;0.0;0.0;0.20383455033707315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"onion";"carrot";0.24;0.0;0.0;0.0;0.0;0.209009559569382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20383455033707315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"salt";"sugar";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2062921615764035;0.0;2.2086055733937675;0.0;0.0;0.0;0.0
"salt";"pepper";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21124392277125179;0.0;0.0;0.0;0.2062921615764035;0.0;0.0;0.0;0.0;0.0;0.0
"onion";"water";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20383455033707315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20925732964382782;0.0;0.0
"onion";"olive oil";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5055278735335795;1.5055278735335795;0.13588970022471542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"sugar";"flour";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3850162607051386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2086055733937675;0.0;0.0;0.0;0.0
"salt";"butter";0.2;0.0;0.0;0.0;2.356971527379617;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2062921615764035;0.0;0.0;0.0;0.0;0.0;0.0
