"Premises";"Conclusion";"Support";"Conclusion Premises:bean";"Conclusion Premises:black";"Conclusion Premises:brown";"Conclusion Premises:carrot";"Conclusion Premises:carrots";"Conclusion Premises:chopped";"Conclusion Premises:cilantro";"Conclusion Premises:cloves";"Conclusion Premises:cucumber";"Conclusion Premises:fish";"Conclusion Premises:fresh";"Conclusion Premises:garlic";"Conclusion Premises:green";"Conclusion Premises:ground";"Conclusion Premises:juice";"Conclusion Premises:leaves";"Conclusion Premises:lemongrass";"Conclusion Premises:lime";"Conclusion Premises:mint";"Conclusion Premises:noodles";"Conclusion Premises:oil";"Conclusion Premises:onions";"Conclusion Premises:peanuts";"Conclusion Premises:pepper";"Conclusion Premises:rice";"Conclusion Premises:roasted";"Conclusion Premises:salt";"Conclusion Premises:sauce";"Conclusion Premises:shallots";"Conclusion Premises:soy";"Conclusion Premises:sprouts";"Conclusion Premises:sugar";"Conclusion Premises:vegetable";"Conclusion Premises:vinegar";"Conclusion Premises:water"
"fish sauce";"garlic";0.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26399767173219263;0.0;0.3103686058864319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1768760836873901;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"sugar";0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26399767173219263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1768760836873901;0.0;0.0;0.0;0.39485157282294475;0.0;0.0;0.0
"garlic";"water";0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4655529088296479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5207269374140806
"fish sauce";"water";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26399767173219263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1768760836873901;0.0;0.0;0.0;0.0;0.0;0.0;0.34715129160938707
"fish sauce";"soy sauce";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19799825379914449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2653141255310852;0.0;0.47923065304551526;0.0;0.0;0.0;0.0;0.0
"fish sauce";"cilantro";0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.1754535082053872;0.0;0.0;0.26399767173219263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1768760836873901;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"lime juice";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19799825379914449;0.0;0.0;0.0;0.0;0.6241852768587508;0.0;0.0;0.6627229468155653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1326570627655426;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"garlic";"sugar";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4655529088296479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5922773592344172;0.0;0.0;0.0
"fish sauce";"garlic cloves";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1106628141225792;0.0;0.19799825379914449;0.0;0.23277645441482395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1326570627655426;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"lemongrass";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26399767173219263;0.0;0.0;0.0;0.0;0.0;0.0;1.3457287161273839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1768760836873901;0.0;0.0;0.0;0.0;0.0;0.0;0.0
